problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Factors and Multiples,1149,5.00,5.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1149,718,758
A Perfect Murder,1201,5.27,4.73,lightoj,http://lightoj.com/volume_showproblem.php?problem=1201,642,693
Marriage Media,1184,5.54,4.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1184,544,555
Hiding Gold,1152,5.81,4.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1152,403,416
Ghosts!,1150,6.08,3.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1150,305,322
Air Raid,1403,6.35,3.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1403,304,311
Strange Voting,1209,6.62,3.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1209,249,261
Scheduling Taxi Cabs,1206,6.88,3.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1206,222,227
Assassin`s Creed (II),1429,7.15,2.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1429,196,264
Multiple Free Subset,1218,7.42,2.58,lightoj,http://lightoj.com/volume_showproblem.php?problem=1218,120,133
Strongly Connected Chemicals,1373,7.69,2.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1373,113,135
The Best Contest Site Ever,1304,7.96,2.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1304,98,108
Similar Trees (II),1242,8.23,1.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1242,71,101
